date,BE0000358672,BE6320936287,CH1305916897,DE0001102341,DE0001102408,DE0001102416,DE0001102432,DE0001102440,DE0001102457,DE0001102465,DE0001102473,DE0001102481,DE0001102499,DE0001102531,DE0001102549,DE0001102572,DE0001102580,DE0001102598,DE0001102606,DE0001102614,DE0001135044,DE0001135069,DE0001135143,DE0001135176,DE0001135226,DE0001135275,DE0001135325,DE0001135366,DE0001135432,DE0001135481,DE000BU22049,DE000BU2D004,DE000BU2D012,DE000BU2F009,DE000BU2Z007,DE000BU2Z015,DE000BU2Z023,DE000BU2Z049,DE000BU2Z056,DE000DL19VU0,ES0000012M93,FR0013428513,FR0013516549,FR001400D8K2,FR001400WP90,FR001400ZZB1,FR0014010IQ2,IT0005561888,IT0005598989,NL0010721999,NL0015000B11,NL00150012X2,XS1708335978,XS1843436145,XS2050406177,XS2058557260,XS2078735433,XS2116701348,XS2180009081,XS2197675288,XS2466401572,XS2554745708,XS2555221246,XS2576067081,XS2620585906,XS2621539910,XS2652072864,XS2739132897,XS2751666699,XS2764455619,XS2792184421,XS2815987834,XS2830466301,XS2831195644,XS2905579095,XS2908897742,XS2909746401,XS2909822517,XS2944926406,XS2976337753,XS3022397460,XS3024074950,XS3046429711,XS3057365465,XS3060780973,XS3069338336,XS3084359036,XS3086851105,XS3090913883,XS3106109922,XS3141207103,XS3144971127,XS3170277704,XS3174782675,XS3185662163,XS3201918409,XS3225966939
31/12/2026,0.033,0.037,0.04125,0.025,1,0.0025,0.0125,0.005,0.0025,0.0025,0,0,0,0,0,0,0,0.01,0.017,0.018,0.065,0.05625,0.0625,0.055,0.0475,0.04,0.0425,0.0475,0.0325,0.025,1.025,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,0.01375,0.04,0.01375,0,0.03375,0.04,0.0375,0.03795,0.04,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0.0075,0.026,0.01864,0.01875,0.0525,0.0475,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,0.04,0.041,0.04973,0.035,0.037,0.0355,0.03625,0.03625,0.03875,0.03864,0.04,0.036,0.04099,0.03276,0.04,0,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2027,0.033,0.037,0.04125,0.025,0,1.0025,0.0125,0.005,0.0025,0.0025,0,0,0,0,0,0,0,0.01,0.017,0.018,1.065,0.05625,0.0625,0.055,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,0.01375,0.04,0.01375,0,0.03375,0.04,0.0375,0.03795,0.04,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0.0075,0.026,0.01864,0.01875,0.0525,0.0475,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,0.04,0.041,0.04973,0.035,0.037,0.0355,0.03625,0.03625,0.03875,0.03864,0.04,0.036,0.04099,0.03276,0.04,0.0375,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2028,0.033,0.037,0.04125,0.025,0,0,0.0125,1.005,1.0025,0.0025,0,0,0,0,0,0,0,0.01,0.017,0.018,0,1.05625,0.0625,0.055,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,0.01375,0.04,0.01375,0,0.0337692,0.04,0.0375,0.03795,0.04,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0.0075,0.026,0.01864,0.01875,0.0525,0.047516711,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,0.04,0.041,0.04973,0.035,0.037,0.0355,0.03625,0.03625,0.03875,0.03864,0.040086235,0.036,0.04099,0.03276,0.04,0.03749944,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2029,0.033,0.037,0.04125,0.025,0,0,0.0125,0,0,1.0025,1,0,0,0,0,0,0,0.01,0.017,0.018,0,0,0.0625,0.055,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,0.01375,0.04,0.01375,0,0.0337308,0.04,0.0375,0.03795,0.04,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0.0075,0.026,0.01864,0.01875,0.0525,0.047483289,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,0.04,0.041,0.04973,0.035,0.037,0.0355,0.03625,0.03625,0.03875,0.03864,0.039913765,0.036,0.04099,0.03276,0.04,0.03750056,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2030,0.033,0.037,0.04125,0.025,0,0,0.0125,0,0,0,0,0,1,0,0,0,0,0.01,0.017,0.018,0,0,1.0625,0.055,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,0.01375,0.04,0.01375,1,0.03375,0.04,0.0375,0.03795,1.04,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0.0075,0.026,0.01864,0.01875,0.0525,0.0475,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,0.04,0.041,0.04973,0.035,0.037,0.0355,0.03625,0.03625,0.03875,0.03864,0.04,0.036,0.04099,0.03276,1.04,0.0375,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2031,0.033,0.037,0.04125,0.025,0,0,0.0125,0,0,0,0,0,0,1,0,0,0,0.01,0.017,0.018,0,0,0,1.055,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,0.01375,0.04,0.01375,0,0.03375,0.04,0.0375,0.03795,0,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0.0075,0.026,0.01864,0.01875,0.0525,0.0475,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,0.04,0.041,1.04973,0.035,0.037,0.0355,1.031370849,1.031407402,0.03875,0.03864,0.04,0.036,0.04099,0.03276,0,0.0375,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2032,0.033,0.037,0.04125,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,1,0.01,1.017,0.018,0,0,0,0,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0.023,0.026,0.022,0.025,0.026,1.029580563,0.04,0.01375,0,1.02891658,0.04,0.0375,0.03795,0,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,1.0075,0.026,0.01864,0.01875,0,0.047516711,0.04275,0.04323,0.04856,0.05125,0.03875,0.03875,0.03875,0.03625,1.033026233,0.041,0,1.030301967,0.037,0.0355,0,0,0.03875,0.03864,0.040086235,1.030727966,0.04099,1.028280292,0,0.03749944,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,0.035,0.03875
31/12/2033,0.033,0.037,1.050081083,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.01,0,0.018,0,0,0,0,0.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,1.023,1.026,0.022,0.025,0.026,0,0.04,0.01375,0,0,0.04,0.0375,0.03795,0,0.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0,0.026,0.01864,0.01875,1.1060546,0.047483289,0.04275,0.04323,1.050808043,0.05125,0.03875,0.03875,0.03875,0.03625,0,0.041,0,0,0.037,0.0355,0,0,0.03875,1.045246364,0.039913765,0,0.04099,0,0,0.03750056,0.04296,0.03837,0.0406,0.03875,0.0375,0.03632,0.035,0.03875,1.030421425,0.03875
31/12/2034,0.033,0.037,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.01,0,0.018,0,0,0,0,1.0475,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,1.022,0.025,0.026,0,0.04,0.01375,0,0,1.0469952,0.0375,0.03795,0,1.042,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0,0.026,0.01864,1.018135613,0,1.038520549,0.72075735,0.04323,0,1.052375785,1.03875,0.697301864,0.03875,1.03625,0,1.037946789,0,0,1.033045766,0.0355,0,0,0.522471743,0,0.585972604,0,0.04099,0,0,0.0375,0.04296,0.03837,0.0406,0.03875,0.0375,1.044627586,1.030853701,0.03875,0,0.03875
31/12/2035,0.033,0.037,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.01,0,0.018,0,0,0,0,0,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,0,1.025,1.026,0,0.04,0.01375,0,0,0,1.0375,0.03795,0,0,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0,0.026,0.01864,0,0,0,0.357663252,1.04323,0,0,0,0.378105,0.52237195,0,0,0,0,0,0,0.0355,0,0,0.5505375,0,0.4888,0,0.04099,0,0,1.0375,1.04296,0.03837,0.0406,0.03875,1.033189864,0,0,1.034725948,0,0.03875
