date,cashflow
31/12/2026,13316063.86
31/12/2027,16724462.33
31/12/2028,16064885.95
31/12/2029,15397265.34
31/12/2030,14847755.24
31/12/2031,14588677.45
31/12/2032,14282520.46
31/12/2033,14106217.43
31/12/2034,13946399.94
31/12/2035,13707873.2
31/12/2036,13462473.32
31/12/2037,13277327.64
31/12/2038,13136433.24
31/12/2039,12937354.12
31/12/2040,12733828.92
31/12/2041,12475844.4
31/12/2042,12269481.43
31/12/2043,12018872.48
31/12/2044,11777179.76
31/12/2045,11484557.13
31/12/2046,11185361.93
31/12/2047,10837810.19
31/12/2048,10500954.32
31/12/2049,10116550.86
31/12/2050,9704932.562
31/12/2051,9295302.419
31/12/2052,8844859.955
31/12/2053,8379029.204
31/12/2054,7903943.075
31/12/2055,7421906.534
31/12/2056,6930259.495
31/12/2057,6441419.164
31/12/2058,5967604.106
31/12/2059,5519444.219
31/12/2060,5065825.685
31/12/2061,4629218.471
31/12/2062,4204354.387
31/12/2063,3803294.157
31/12/2064,3429227.432
31/12/2065,3082529.992
31/12/2066,2758100.763
31/12/2067,2463659.705
31/12/2068,2198465.334
31/12/2069,1957975.485
31/12/2070,1738970.06
31/12/2071,1541963.021
31/12/2072,1364302.707
31/12/2073,1207581.889
31/12/2074,1067587.04
31/12/2075,943867.5557
31/12/2076,830124.1144
31/12/2077,730110.5462
31/12/2078,642013.1571
31/12/2079,561583.8154
31/12/2080,490582.8296
31/12/2081,431220.2608
31/12/2082,380361.8322
31/12/2083,334267.4458
31/12/2084,294514.4765
31/12/2085,258692.6006
31/12/2086,228550.0551
31/12/2087,201799.68
31/12/2088,179428.7922
31/12/2089,160044.6094
31/12/2090,142600.6588
31/12/2091,128234.0365
31/12/2092,115061.1134
31/12/2093,102642.9138
31/12/2094,91948.8883
31/12/2095,83208.80779
31/12/2096,15753.52312
31/12/2097,12122.44162
31/12/2098,9224.244464
31/12/2099,6937.490161
31/12/2100,5206.188148
31/12/2101,3811.227142
31/12/2102,2797.312572
31/12/2103,2039.740159
31/12/2104,1428.793731
31/12/2105,1017.727292
31/12/2106,717.9803549
31/12/2107,488.4684779
31/12/2108,325.4715497
31/12/2109,237.7553929
31/12/2110,171.7314181
31/12/2111,103.9014062
31/12/2112,15.09965345
31/12/2113,10.07630469
