date,yield
31/12/2026,0.019810328
31/12/2027,0.019817996
31/12/2028,0.020803073
31/12/2029,0.021836829
31/12/2030,0.022871381
31/12/2031,0.023870092
31/12/2032,0.024879877
31/12/2033,0.025842734
31/12/2034,0.026747861
31/12/2035,0.027656535
31/12/2036,0.028723567
31/12/2037,0.029702041
31/12/2038,0.030513479
31/12/2039,0.031160957
31/12/2040,0.031655162
31/12/2041,0.031969535
31/12/2042,0.032165211
31/12/2043,0.032341985
31/12/2044,0.032515952
31/12/2045,0.032683756
31/12/2046,0.032850958
31/12/2047,0.033014684
31/12/2048,0.033178736
31/12/2049,0.033333612
31/12/2050,0.033483445
31/12/2051,0.033627878
31/12/2052,0.033770427
31/12/2053,0.033903041
31/12/2054,0.034029432
31/12/2055,0.034149405
31/12/2056,0.034266146
31/12/2057,0.034372707
31/12/2058,0.03447284
31/12/2059,0.034567057
31/12/2060,0.034656073
31/12/2061,0.034740011
31/12/2062,0.034819482
31/12/2063,0.03489474
31/12/2064,0.034966296
31/12/2065,0.03503415
31/12/2066,0.035098752
31/12/2067,0.035160245
31/12/2068,0.035219019
31/12/2069,0.035275003
31/12/2070,0.03532855
31/12/2071,0.035379737
31/12/2072,0.035428871
31/12/2073,0.035475849
31/12/2074,0.035520954
31/12/2075,0.035564223
31/12/2076,0.03560591
31/12/2077,0.035645891
31/12/2078,0.035684403
31/12/2079,0.035721459
31/12/2080,0.035757272
31/12/2081,0.035791711
31/12/2082,0.035824977
31/12/2083,0.035857068
31/12/2084,0.035888167
31/12/2085,0.03591814
31/12/2086,0.035947164
31/12/2087,0.035975223
31/12/2088,0.036002483
31/12/2089,0.036028805
31/12/2090,0.036054349
31/12/2091,0.036079092
31/12/2092,0.036103181
31/12/2093,0.036126482
31/12/2094,0.036149136
31/12/2095,0.036171117
31/12/2096,0.03619256
31/12/2097,0.03621333
31/12/2098,0.036233558
31/12/2099,0.036253241
31/12/2100,0.0362724
31/12/2101,0.036291055
31/12/2102,0.036309228
31/12/2103,0.036326911
31/12/2104,0.036344218
31/12/2105,0.036361024
31/12/2106,0.036377438
31/12/2107,0.036393431
31/12/2108,0.036409105
31/12/2109,0.036424341
31/12/2110,0.036439241
31/12/2111,0.036453774
31/12/2112,0.036468037
31/12/2113,0.036481913
