AAAA,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC+,CCC,CCC-,CC+,Def
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.913357023,0.053407191,0.022157191,0.005434783,0.003135452,0.001463211,0.00020903,0.00041806,0,0.00020903,0.000104515,0.000104515,0,0,0,0,0,0,0,0,0
0,0.016429875,0.814437312,0.080990856,0.057293922,0.0144288,0.010321332,0.002001074,0.001474476,0.000737238,0.00010532,0.000315959,0,0.00010532,0.000421279,0.000210639,0.00010532,0.000210639,0.000210639,0,0,0.0002
0,0.009443955,0.042707662,0.792032997,0.098741793,0.033158774,0.015425126,0.004197313,0.000839463,0.00146906,0.000629597,0.000314798,0.000104933,0,0.000209866,0.000104933,0.000209866,0,0.000209866,0,0,0.0002
0,0.001476522,0.010230189,0.044084731,0.805126411,0.089856917,0.033854543,0.008226337,0.002320249,0.002425715,0.001160125,0.000210932,0.000316398,0.000105466,0.000105466,0,0,0,0,0,0,0.0005
0,0.000526937,0.0008431,0.010117196,0.05216679,0.821179041,0.07450893,0.024871439,0.00579631,0.003899336,0.001686199,0.001580812,0.001053875,0.00042155,0.000526937,0.000105387,0.000105387,0.000105387,0.000105387,0,0,0.0004
0,0.000523079,0.000313848,0.001987701,0.009415428,0.060467972,0.813074524,0.072184949,0.023852418,0.008996965,0.003347708,0.001464622,0.00125539,0.001464622,0.000418463,0.000313848,0.000104616,0.000104616,0.000209232,0,0,0.0005
0,0.00031517,0.000420227,0.001365738,0.002626419,0.01334221,0.063559346,0.810828154,0.067866674,0.023952944,0.007879258,0.003046646,0.001260681,0.001050568,0.000840454,0.00031517,0.000210114,0.000210114,0.000105057,0,0.000105057,0.0007
0,0.000105092,0.000210184,0.000630552,0.000945829,0.001891657,0.013241599,0.065157075,0.81803657,0.065682536,0.019967491,0.004939327,0.002627301,0.001891657,0.002206933,0.000420368,0.000210184,0.000315276,0.000210184,0,0.000210184,0.0011
0,0.000316315,0.000316315,0.000105438,0.000632629,0.001476135,0.005166473,0.016764678,0.069378353,0.815880993,0.061048733,0.011809081,0.005482788,0.003795776,0.002846832,0.001581573,0.000738068,0.000843506,0.000105438,0.000105438,0.000105438,0.0015
0,0.000213187,0,0.000213187,0.00031978,0.00063956,0.001492306,0.003943952,0.016628553,0.091990009,0.792414512,0.046901047,0.019506572,0.008953836,0.006928564,0.002345052,0.002238459,0.001279119,0.00063956,0.000532966,0.00031978,0.0025
0,0.000108719,0,0.000108719,0.000108719,0.001304633,0.001195913,0.002065669,0.006305726,0.023483392,0.108719406,0.718635271,0.06033927,0.040878497,0.015546875,0.005870848,0.005218531,0.001522072,0.002065669,0.000326158,0.001195913,0.005
0,0,0,0.000109592,0.000219183,0.00065755,0.000986325,0.001424691,0.003287748,0.006685088,0.037809106,0.089207572,0.716948322,0.067179658,0.038905022,0.013370177,0.008548146,0.00339734,0.002191832,0.000767141,0.001205508,0.0071
0,0,0.000110406,0.000110406,0.000110406,0.000552029,0.00154568,0.001656086,0.000883246,0.004195417,0.008390835,0.030582385,0.079823337,0.71885166,0.075075891,0.032238471,0.019652219,0.007617995,0.004195417,0.000993652,0.001214463,0.0122
0,0.000111556,0.000111556,0.000111556,0.000111556,0.000334669,0.000223113,0.000669338,0.000892451,0.001896458,0.003904473,0.007028051,0.030566443,0.079762799,0.7109487,0.070503621,0.047746123,0.014502327,0.008032058,0.002565796,0.002677353,0.0173
0,0,0.000110786,0,0.000110786,0.000110786,0.000221572,0.000997073,0.001107859,0.001329431,0.002326503,0.002104932,0.007201082,0.022711105,0.085637483,0.691857802,0.088628702,0.038442699,0.02016303,0.004763793,0.004874579,0.0273
0,0.000114175,0,0.00022835,0,0.000342525,0.000342525,0.000570876,0.000342525,0.000342525,0.000913401,0.001370101,0.002740203,0.009704884,0.029228827,0.074670518,0.691444431,0.086544729,0.038819535,0.012102561,0.008677308,0.0415
0,0,0.0001161,0,0,0,0.0001161,0,0.0001161,0.0001161,0.0003483,0.000464399,0.001160999,0.002438097,0.006733792,0.013931983,0.086726592,0.693580535,0.110643162,0.03192746,0.014280282,0.0373
0,0,0,0.000117169,0,0.000117169,0.000117169,0,0,0.000351507,0.000585845,0.000351507,0.000234338,0.00105452,0.002812055,0.009139177,0.01874703,0.073816431,0.716839565,0.080495061,0.032221458,0.063
0,0,0,0,0,0,0,0,0,0,0,0.000357544,0.000238363,0.000238363,0.001072632,0.002026083,0.009653691,0.032059788,0.11226885,0.570640395,0.115844291,0.1556
0,0,0,0,0,0,0,0.000256657,0,0,0.000769971,0.001411614,0.001283286,0.001539943,0.0008983,0.004106514,0.018222655,0.019505941,0.043118395,0.079948692,0.500738032,0.3282
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
