id,notional
BE0000358672,4000000
BE6320936287,1560000
CH1305916897,1450000
DE0001102341,3800000
DE0001102432,15200000
DE0001102440,4000000
DE0001102465,9000000
DE0001102481,14000000
DE0001135044,10000000
DE0001135069,5000000
DE0001135366,3500000
DE0001135432,14000000
DE0001135481,17100000
DE000BU22049,2549000
DE000BU2D004,3000000
DE000BU2D012,51000000
DE000BU2F009,2000000
DE000DL19VU0,800000
ES0000012M93,4000000
FR0013428513,2100000
FR0013516549,4500000
FR001400D8K2,1500000
FR001400WP90,1400000
FR001400ZZB1,1500000
FR0014010IQ2,1500000
IT0005561888,3800000
IT0005598989,730000
NL0010721999,9000000
NL0015000B11,9000000
NL00150012X2,10750000
XS1708335978,1670000
XS1843436145,1720000
XS2050406177,1040000
XS2058557260,2060000
XS2078735433,2330000
XS2116701348,1790000
XS2180009081,1760000
XS2197675288,2100000
XS2466401572,1730000
XS2554745708,1300000
XS2555221246,1420000
XS2576067081,1430000
XS2620585906,1430000
XS2621539910,1390000
XS2652072864,1300000
XS2739132897,1450000
XS2751666699,1470000
XS2764455619,1400000
XS2792184421,1500000
XS2815987834,730000
XS2830466301,1.47E+06
XS2831195644,720000
XS2905579095,1530000
XS2908897742,1540000
XS2909746401,1560000
XS2909822517,1520000
XS2944926406,770000
XS2976337753,1520000
XS3022397460,1400000
XS3024074950,1490000
XS3046429711,1490000
XS3057365465,1470000
XS3060780973,1540000
XS3069338336,1470000
XS3084359036,1500000
XS3086851105,750000
XS3090913883,1520000
XS3106109922,1500000
XS3141207103,1540000
XS3144971127,1540000
XS3170277704,1520000
XS3174782675,1540000
XS3185662163,1550000
XS3201918409,1530000
XS3225966939,1140000
